,factor 1 score,factor 4 score,country
0,41.10811987840561,17.880981092066023,GB
1,57.90186651463433,20.258958715094913,MY
2,48.158084810674985,15.545966854654255,GB
3,51.89724955122727,17.93378939247803,GB
4,38.95252467734885,16.8457180840335,KE
5,52.19243292397128,15.298380892826561,SE
6,42.96313664580979,22.404824801556895,US
7,52.077529844994274,19.043688497778913,MY
8,45.218061453227435,15.872034039564003,GB
9,32.004206525693,15.557753401156702,FI
10,32.55074808511486,12.918846222355233,UA
11,46.98931833417632,13.958080219131789,PH
13,42.031530471112234,17.407434493556742,GB
14,44.69052064958301,19.144264597931596,AU
15,51.91363881772489,18.97199130110728,IN
16,52.597931357141896,17.130409010873112,CA
17,40.11810409149616,22.104551128556125,NL
18,32.65024222875117,16.609332648455645,ZA
19,51.097875874014655,18.366795992190326,HK
20,35.213289923265826,17.041918326611164,GB
21,36.07389425659194,15.130210664488365,US
23,39.48047422604307,17.6943030155309,BR
24,37.16290457282871,14.007694021904273,AU
25,38.96179546527302,15.861111178816001,CA
26,42.83925395922902,14.491453306387259,GB
27,52.72520448172064,17.48853598894752,AU
28,36.8292311554898,17.273823550484412,GB
29,39.64736955352967,20.45466583719209,GB
30,4.438005237467528,2.5235069195603868,SE
31,53.07678922419423,17.121090538260187,CH
32,50.13382102761191,18.58130462614179,FR
33,48.67290855632695,15.782992673499187,FR
34,44.4367380222491,19.192540529452227,GB
35,36.465850594592816,13.654297373232332,GB
36,51.397506861233154,15.244738041838561,TH
37,53.00302240005027,18.88836359517947,GB
38,54.93403675583184,17.587677362944778,GB
39,60.15184815486473,18.15045646256673,GB
40,44.81270280970432,12.446124617247092,IT
41,52.42561102870412,17.503537619988258,AU
43,50.36647258211441,15.258899195567526,IN
44,62.381350616940324,20.816471116093904,ES
45,46.874749345417605,11.29845247075204,IN
46,33.543437908725544,19.551397398332185,FR
48,51.59372425119258,16.037034028051345,FR
50,48.49836020440017,20.392228012583953,HR
51,63.00620735546644,23.482070958677973,US
52,46.45990032652048,22.70361436657548,GR
53,51.72934597329417,18.57981466174464,IE
54,39.91869608543655,15.459796257224214,IN
55,52.374613959526165,14.600171967726437,GB
56,39.883772626708044,18.329529967931144,BR
57,55.4116156323564,17.928437803957433,GB
58,36.76056659621278,14.846666684959212,IN
59,2.515080123734182,1.6376950867120288,GB
60,50.56877050633593,14.479465979453266,OM
61,49.74773384397867,16.383883034187203,GB
62,42.100880986560114,21.219407113081324,KE
63,40.56912456052007,15.564691298291716,AU
64,41.90674839707393,20.134878038175923,ES
65,42.790320635263576,17.279645597778703,FR
66,35.02894267522198,17.12506928092074,GB
67,55.09814706746085,20.553118242912017,GB
68,50.63569722441953,18.375661735193155,PH
69,52.40310410024122,17.72177719397545,HK
70,57.28809715571782,21.3456976203823,PH
71,39.955308403186095,17.74629638306246,US
72,1.489905360055772,-0.055351259688158586,HK
73,44.765367536364245,16.30938302229622,DE
74,48.26253721518247,21.020653993387636,GB
75,37.432332228985885,16.97728610438432,GB
76,51.5598698913543,20.44213066570597,AU
77,39.161353808665346,16.505720228018998,IN
78,44.39157564291457,18.71798367403453,GB
79,52.54291731041234,18.915626390165265,PT
80,55.74380430245001,17.242288932951,GB
81,52.3013489274124,18.039411779530514,GB
82,-0.13891362657907752,0.6181064556435082,DE
83,42.260858486809795,18.04697614394537,HK
84,47.24007694784088,20.445441662427825,GB
85,46.557626022026504,23.770054370000274,NL
86,44.54872442489946,18.94798127885501,GB
87,39.21715231926617,17.765423725070285,GB
88,37.08157412447354,15.61764264690483,NL
89,45.5550157744426,12.348367510947755,CA
90,40.867520454244115,17.67858404559835,NL
92,47.577478495505865,14.867539317948419,GB
94,51.0319237691224,16.73379655090311,SG
95,57.93721097396193,19.988002341768254,GB
96,29.90629154845336,17.435092711679708,NONE
