,factor 1 score,factor 2 score,country
0,41.10811987840561,51.26728390728933,GB
1,57.90186651463433,48.47202128829514,MY
2,48.158084810674985,39.72610702694835,GB
3,51.89724955122727,44.781373535544546,GB
4,38.95252467734885,41.669826808583466,KE
5,52.19243292397128,42.45263334979154,SE
6,42.96313664580979,57.26770634299352,US
7,52.077529844994274,46.41664175717479,MY
8,45.218061453227435,38.59287897202056,GB
9,32.004206525693,36.96997272038659,FI
10,32.55074808511486,34.5017215135231,UA
11,46.98931833417632,41.26218881189701,PH
13,42.031530471112234,51.94805535358507,GB
14,44.69052064958301,55.58471151378071,AU
15,51.91363881772489,45.07349359499092,IN
16,52.597931357141896,41.30827769943723,CA
17,40.11810409149616,46.214941948855255,NL
18,32.65024222875117,47.54551955492302,ZA
19,51.097875874014655,46.49296469073072,HK
20,35.213289923265826,48.278382784106334,GB
21,36.07389425659194,42.9254749318017,US
23,39.48047422604307,44.1971667819274,BR
24,37.16290457282871,43.36781849330644,AU
25,38.96179546527302,47.56216373981883,CA
26,42.83925395922902,34.43156274482398,GB
27,52.72520448172064,46.00938271942557,AU
28,36.8292311554898,40.013620610971614,GB
29,39.64736955352967,47.243656248768815,GB
30,4.438005237467528,6.579580121719235,SE
31,53.07678922419423,42.33808233077609,CH
32,50.13382102761191,42.97623087342622,FR
33,48.67290855632695,43.29770994694396,FR
34,44.4367380222491,51.871794329131276,GB
35,36.465850594592816,45.28868484563546,GB
36,51.397506861233154,39.87330599893493,TH
37,53.00302240005027,45.8288707177373,GB
38,54.93403675583184,40.399473718767325,GB
39,60.15184815486473,43.591730536891774,GB
40,44.81270280970432,37.809411846540556,IT
41,52.42561102870412,45.30298547445607,AU
43,50.36647258211441,39.44724097258545,IN
44,62.381350616940324,45.32400488800206,ES
45,46.874749345417605,36.935568569253306,IN
46,33.543437908725544,44.08293116535309,FR
48,51.59372425119258,44.65120180077169,FR
50,48.49836020440017,58.40739593814428,HR
51,63.00620735546644,51.455008354175995,US
52,46.45990032652048,57.847078328222956,GR
53,51.72934597329417,48.43192073972383,IE
54,39.91869608543655,47.622297404761696,IN
55,52.374613959526165,42.2598512053714,GB
56,39.883772626708044,52.64849906271785,BR
57,55.4116156323564,44.47221812015425,GB
58,36.76056659621278,51.53994261289077,IN
59,2.515080123734182,2.873504656700834,GB
60,50.56877050633593,40.07444520774007,OM
61,49.74773384397867,43.602760026232446,GB
62,42.100880986560114,46.649418145552374,KE
63,40.56912456052007,46.13723620645118,AU
64,41.90674839707393,52.83956600515721,ES
65,42.790320635263576,54.808884647554514,FR
66,35.02894267522198,41.84407611299844,GB
67,55.09814706746085,48.23113844491057,GB
68,50.63569722441953,45.956938270677014,PH
69,52.40310410024122,45.36481612844301,HK
70,57.28809715571782,52.321471237833556,PH
71,39.955308403186095,44.17808877430857,US
72,1.489905360055772,2.7772688177986313,HK
73,44.765367536364245,56.722914599395665,DE
74,48.26253721518247,57.31758579882318,GB
75,37.432332228985885,45.16092384744901,GB
76,51.5598698913543,45.8761919734116,AU
77,39.161353808665346,54.47888431650172,IN
78,44.39157564291457,49.67673488120804,GB
79,52.54291731041234,47.250017699674075,PT
80,55.74380430245001,44.15155868581459,GB
81,52.3013489274124,45.036771619391956,GB
82,-0.13891362657907752,1.415578702499005,DE
83,42.260858486809795,49.81532717912079,HK
84,47.24007694784088,62.214103665171244,GB
85,46.557626022026504,56.172502269871515,NL
86,44.54872442489946,58.455456247629904,GB
87,39.21715231926617,49.31375695387068,GB
88,37.08157412447354,45.621484408246005,NL
89,45.5550157744426,39.10419399258417,CA
90,40.867520454244115,47.132518017397544,NL
92,47.577478495505865,40.88190641877465,GB
94,51.0319237691224,43.66528567613467,SG
95,57.93721097396193,47.51128297522614,GB
96,29.90629154845336,42.70345044114034,NONE
97,49.463142531022534,44.97732636407515,GB
98,43.240689534969086,56.92901580284457,GB
99,12.033559569078221,10.192373046500485,GB
100,26.07661553285723,37.20054584896374,US
101,50.59757486783481,39.9938053501694,GB
102,38.35086300023266,48.25086189020714,RO
103,44.24120216853139,34.2444290753047,IN
104,52.81800739617441,40.966516458722765,US
106,40.53880993988115,49.40856015703267,IN
107,47.661343854808536,40.442990667254705,GB
108,53.5987941705144,46.52217264548439,CA
109,37.78315958335046,47.266623029276495,GB
110,53.745933287595705,46.06263242091133,GB
111,33.6622899508185,44.64819580786244,NO
112,59.56842188045143,44.65332113225986,GB
113,46.28653592485531,37.880470350765535,US
114,38.56229097581671,40.64038492834106,GB
115,37.408286198334764,48.85377759548948,NL
116,49.02139209442105,43.549526736743836,GB
117,53.728116556058296,45.4348043467303,US
118,40.902824861557825,48.43701002158383,BD
119,52.17779938001938,45.03381373301041,BN
120,57.333470597302735,51.36981489986461,GB
122,1.2864504426017072,3.9707979355461793,CA
123,50.784920685622254,46.3422474659926,GB
124,37.02679910361969,41.66736996929711,IN
125,42.05060751678461,48.1657563991811,AU
126,36.364445912116764,46.06490881274862,GB
127,38.10391290405327,37.94429900406795,GB
128,49.2172313917411,41.44765619063671,GB
129,45.30749682739982,39.86292080188756,GB
130,54.00057273926729,46.28832899349972,GB
131,38.689938197778226,46.12569717854472,GB
134,55.35290779231497,45.09270215655748,PH
135,49.06932320795489,44.22941936215281,GB
136,49.48016871814913,43.95618631120096,PH
137,52.131058573570925,38.191584438054605,SE
138,48.445970502939645,44.08669825532456,DE
139,50.95535743201008,46.8252128206985,IN
140,52.9025178000503,44.934281444604785,AU
141,9.542973440493316,13.368461326160059,ZA
142,2.0973066709785884,1.4382901330666418,NO
143,51.690969408529696,47.24230779776663,US
144,47.36696536524378,41.6980875829735,SE
145,3.949986848234067,4.538443663654261,NL
146,45.68567993739685,60.10621016858597,GB
147,53.31675258611871,44.569556499945826,FR
148,34.36252137270539,43.7067010152662,NG
149,48.80535421172023,41.8990905006167,AU
150,48.830940919652356,42.20753900215786,GB
151,37.03167046724737,42.619214589215915,US
152,31.56645183236685,40.02299245581197,LT
153,2.0973066709785884,1.4382901330666418,ET
154,52.591817438941746,44.16426131322176,DE
156,40.327864491236596,47.025057802701205,BE
157,40.27561131182834,49.9289787716171,GB
158,60.75061604283759,38.4107682288087,SE
159,1.9555009783345816,3.858595480049824,CA
160,27.151187287468026,37.521015475190715,GB
161,40.61589330975237,48.13856128771222,GB
162,53.785992911090396,42.05602402040152,AU
163,52.64329441034533,48.36972942975024,GB
164,54.87352308215903,43.629567968679524,US
165,54.900657110961326,41.964480671974194,CA
166,41.740793741936024,45.13183049437172,HK
167,61.53469276755771,46.85258062952967,GB
168,40.8696024919603,42.54958887811151,MY
169,40.22903816817869,46.521396745129806,SG
170,43.91944187194705,49.2811705414057,AU
171,47.708797614171125,57.66120705130198,GB
172,38.746480046917725,46.000533580576224,US
173,42.21153626035744,54.23216291482621,GB
174,36.63991774566032,46.71280544331059,GB
175,16.5981840490357,15.643995858780743,GB
176,34.69133847783892,47.396794720268765,BR
177,1.09966429440408,5.009570102507105,AT
178,7.356840735607147,8.590323658741179,US
180,38.805241378159,44.10018958198309,NL
181,50.19455093031814,42.52010124972115,US
182,53.47007624007472,45.12712839517996,DK
183,51.28170313362052,45.6968558577175,NL
184,55.36151591178047,45.21720019760802,US
185,37.02364499396687,40.18677994348011,GB
186,51.50227993584457,41.01089589473554,US
187,43.42671613857558,53.43079724562766,GB
188,55.351280060632725,44.14717123568434,DE
189,42.235429613965664,57.04999602149082,US
190,41.56188920455835,49.1744113207797,US
191,50.95087133629703,42.30726909217474,GB
192,38.5445007626043,44.94700040115189,US
193,57.92886912433746,41.05505330504624,ES
194,39.63409934692273,51.26193127229529,US
195,53.124118025542714,47.060705227708716,US
196,55.59172829832489,47.26674082372444,ES
197,36.44554396013122,43.497616904236445,US
198,53.32914202463981,44.416618748529224,US
199,50.28258827711784,43.04328981216654,FI
200,41.43483216896047,57.98421511446104,GB
201,42.986448777703394,53.067209627459036,US
202,50.955762857289315,45.08223127289692,NL
203,53.912414639017776,47.21162473858384,US
204,9.976305093221628,8.853948156844622,ES
205,50.52260694428821,46.113094914245366,US
206,2.6216333387232353,1.7978626663333022,IN
207,49.36971304749158,46.034318950413706,GB
208,45.20992161150134,62.07354123887684,GB
210,50.18028831171305,40.25070705789711,TZ
211,48.89296006221549,42.51501827459027,US
212,31.064441308928842,35.613837688915005,US
213,49.387708215698,45.93853271474903,LU
214,45.833247678618264,58.270314274207735,PH
215,42.52049846586394,34.767154924252125,MY
216,49.144862676931254,42.09416741507179,US
217,39.994779331958334,47.09622292979332,GB
218,53.28641144099341,46.74679641687822,US
219,44.90443530684679,48.85902288349933,FR
220,37.84705644880978,46.58845651103775,GB
221,52.81189590760767,44.61785899179806,US
222,38.76127730047594,43.46053012959456,PL
223,50.76940322270507,39.25684216980652,US
224,28.5201585905897,41.3278818008,US
226,50.65961393105188,46.494925654206504,NONE
227,33.256108262041565,48.772452955723395,US
228,37.49443640579917,50.130076745467726,DK
230,51.350829635282146,46.716818884554435,GB
231,45.25980939034163,35.46476410577142,US
232,51.58460838410118,43.05819120522555,GB
233,51.38311406369981,41.49263586123837,MY
234,41.83719593470092,49.314114333631714,US
235,45.257574261045484,57.5103409946861,JP
236,33.21207830143769,40.90561893691441,MX
237,34.38239575025091,46.01755033298098,GB
239,43.43831733345325,52.02163871072984,AU
240,35.61640470925095,48.14156040776337,NL
241,32.68746417696041,50.47005297512042,US
242,52.27589185600537,41.958469786302615,IN
243,51.253092139597534,45.29489576613013,GB
244,52.996672990896116,45.32464497582142,US
245,45.35308843071888,56.70078098383752,IN
246,53.740716058250754,48.056579419595145,US
247,52.35358048984523,45.87755098119691,IE
248,38.957240356880575,46.53878704743113,US
249,53.617265642701604,43.68877950824675,DE
250,47.81917812268005,44.54885374306721,AE
252,4.868288908133571,8.456006849274416,AU
253,37.27536691356054,44.49971650052862,GB
254,48.896825200403185,43.00947687211636,GB
256,54.67376716185578,38.50211231909156,FR
258,49.482122233191845,43.273316503508724,US
259,38.270817116613244,48.27522835368609,US
260,43.0408917327903,50.90207069625448,US
262,34.8779967296326,39.73562515394573,GB
263,55.01065034074502,51.28947919447018,US
264,48.41214698119793,63.54240493834879,GB
265,49.46022549838737,41.809290636662666,US
267,47.99801722176867,40.63503232402981,AT
268,38.24677861512619,47.048063133413976,US
269,51.84546939983352,40.77746595522959,US
270,32.751043211759416,44.18201047651492,US
271,46.66905356658958,38.43820418212025,GB
