,factor 3 score,factor 4 score,country
0,44.70363215174309,17.880981092066023,GB
1,42.158296285171176,20.258958715094913,MY
2,34.84285289643032,15.545966854654255,GB
3,35.9137487213669,17.93378939247803,GB
4,40.399504323444624,16.8457180840335,KE
5,35.34507439729122,15.298380892826561,SE
6,39.18115838722415,22.404824801556895,US
7,42.67488558650333,19.043688497778913,MY
8,36.288885380954135,15.872034039564003,GB
9,27.635145156298687,15.557753401156702,FI
10,33.044339633498815,12.918846222355233,UA
11,37.32765015565819,13.958080219131789,PH
13,39.54104276870202,17.407434493556742,GB
14,38.348016687562875,19.144264597931596,AU
15,34.96604162325339,18.97199130110728,IN
16,33.92703842790263,17.130409010873112,CA
17,37.8052200853211,22.104551128556125,NL
18,44.584235053551474,16.609332648455645,ZA
19,39.73550701202882,18.366795992190326,HK
20,45.804171910251746,17.041918326611164,GB
21,43.29478921202749,15.130210664488365,US
23,46.0130710913189,17.6943030155309,BR
24,43.782981835852524,14.007694021904273,AU
25,40.92708372274039,15.861111178816001,CA
26,28.646982802691337,14.491453306387259,GB
27,42.795926641905936,17.48853598894752,AU
28,45.54635539974967,17.273823550484412,GB
29,39.65635429812654,20.45466583719209,GB
30,5.329612897554934,2.5235069195603868,SE
31,36.9169268466975,17.121090538260187,CH
32,38.25455406910408,18.58130462614179,FR
33,37.008827404550175,15.782992673499187,FR
34,37.490135606349384,19.192540529452227,GB
35,34.48477504965667,13.654297373232332,GB
36,35.730039042214955,15.244738041838561,TH
37,32.94548604665222,18.88836359517947,GB
38,35.759802645919116,17.587677362944778,GB
39,31.681078385043364,18.15045646256673,GB
40,34.35012098873832,12.446124617247092,IT
41,40.62872901854671,17.503537619988258,AU
43,33.29823016087399,15.258899195567526,IN
44,40.04270193372873,20.816471116093904,ES
45,35.05145625302212,11.29845247075204,IN
46,49.05246465310536,19.551397398332185,FR
48,41.72131523469967,16.037034028051345,FR
50,37.34349310506927,20.392228012583953,HR
51,38.88279956453255,23.482070958677973,US
52,45.25702251283406,22.70361436657548,GR
53,43.18913220293376,18.57981466174464,IE
54,48.13568969729579,15.459796257224214,IN
55,37.9505093413673,14.600171967726437,GB
56,37.995762188488015,18.329529967931144,BR
57,40.71312302764626,17.928437803957433,GB
58,35.607221109788824,14.846666684959212,IN
