,factor 2 score,factor 4 score,country
0,51.26728390728933,17.880981092066023,GB
1,48.47202128829514,20.258958715094913,MY
2,39.72610702694835,15.545966854654255,GB
3,44.781373535544546,17.93378939247803,GB
4,41.669826808583466,16.8457180840335,KE
5,42.45263334979154,15.298380892826561,SE
6,57.26770634299352,22.404824801556895,US
7,46.41664175717479,19.043688497778913,MY
8,38.59287897202056,15.872034039564003,GB
9,36.96997272038659,15.557753401156702,FI
10,34.5017215135231,12.918846222355233,UA
11,41.26218881189701,13.958080219131789,PH
13,51.94805535358507,17.407434493556742,GB
14,55.58471151378071,19.144264597931596,AU
15,45.07349359499092,18.97199130110728,IN
16,41.30827769943723,17.130409010873112,CA
17,46.214941948855255,22.104551128556125,NL
18,47.54551955492302,16.609332648455645,ZA
19,46.49296469073072,18.366795992190326,HK
20,48.278382784106334,17.041918326611164,GB
21,42.9254749318017,15.130210664488365,US
23,44.1971667819274,17.6943030155309,BR
24,43.36781849330644,14.007694021904273,AU
25,47.56216373981883,15.861111178816001,CA
26,34.43156274482398,14.491453306387259,GB
27,46.00938271942557,17.48853598894752,AU
28,40.013620610971614,17.273823550484412,GB
29,47.243656248768815,20.45466583719209,GB
30,6.579580121719235,2.5235069195603868,SE
31,42.33808233077609,17.121090538260187,CH
32,42.97623087342622,18.58130462614179,FR
33,43.29770994694396,15.782992673499187,FR
34,51.871794329131276,19.192540529452227,GB
35,45.28868484563546,13.654297373232332,GB
36,39.87330599893493,15.244738041838561,TH
37,45.8288707177373,18.88836359517947,GB
38,40.399473718767325,17.587677362944778,GB
39,43.591730536891774,18.15045646256673,GB
40,37.809411846540556,12.446124617247092,IT
41,45.30298547445607,17.503537619988258,AU
43,39.44724097258545,15.258899195567526,IN
44,45.32400488800206,20.816471116093904,ES
45,36.935568569253306,11.29845247075204,IN
46,44.08293116535309,19.551397398332185,FR
48,44.65120180077169,16.037034028051345,FR
50,58.40739593814428,20.392228012583953,HR
51,51.455008354175995,23.482070958677973,US
52,57.847078328222956,22.70361436657548,GR
53,48.43192073972383,18.57981466174464,IE
54,47.622297404761696,15.459796257224214,IN
55,42.2598512053714,14.600171967726437,GB
56,52.64849906271785,18.329529967931144,BR
57,44.47221812015425,17.928437803957433,GB
58,51.53994261289077,14.846666684959212,IN
59,2.873504656700834,1.6376950867120288,GB
60,40.07444520774007,14.479465979453266,OM
61,43.602760026232446,16.383883034187203,GB
62,46.649418145552374,21.219407113081324,KE
63,46.13723620645118,15.564691298291716,AU
64,52.83956600515721,20.134878038175923,ES
65,54.808884647554514,17.279645597778703,FR
66,41.84407611299844,17.12506928092074,GB
67,48.23113844491057,20.553118242912017,GB
68,45.956938270677014,18.375661735193155,PH
69,45.36481612844301,17.72177719397545,HK
70,52.321471237833556,21.3456976203823,PH
71,44.17808877430857,17.74629638306246,US
72,2.7772688177986313,-0.055351259688158586,HK
73,56.722914599395665,16.30938302229622,DE
74,57.31758579882318,21.020653993387636,GB
75,45.16092384744901,16.97728610438432,GB
76,45.8761919734116,20.44213066570597,AU
77,54.47888431650172,16.505720228018998,IN
78,49.67673488120804,18.71798367403453,GB
79,47.250017699674075,18.915626390165265,PT
80,44.15155868581459,17.242288932951,GB
81,45.036771619391956,18.039411779530514,GB
82,1.415578702499005,0.6181064556435082,DE
83,49.81532717912079,18.04697614394537,HK
84,62.214103665171244,20.445441662427825,GB
85,56.172502269871515,23.770054370000274,NL
86,58.455456247629904,18.94798127885501,GB
87,49.31375695387068,17.765423725070285,GB
88,45.621484408246005,15.61764264690483,NL
89,39.10419399258417,12.348367510947755,CA
90,47.132518017397544,17.67858404559835,NL
92,40.88190641877465,14.867539317948419,GB
94,43.66528567613467,16.73379655090311,SG
95,47.51128297522614,19.988002341768254,GB
96,42.70345044114034,17.435092711679708,NONE
97,44.97732636407515,17.055349225533064,GB
98,56.92901580284457,17.78051304315104,GB
99,10.192373046500485,7.238055341418221,GB
100,37.20054584896374,18.52354722125189,US
101,39.9938053501694,17.043269391834603,GB
102,48.25086189020714,16.740398504663418,RO
103,34.2444290753047,14.991841070106409,IN
104,40.966516458722765,18.014173953087788,US
106,49.40856015703267,18.29245359434581,IN
107,40.442990667254705,14.365495590144896,GB
108,46.52217264548439,18.335264712832736,CA
109,47.266623029276495,15.95920156590724,GB
110,46.06263242091133,19.576609190369492,GB
111,44.64819580786244,15.454121156173725,NO
112,44.65332113225986,18.718290427855777,GB
113,37.880470350765535,17.400838576756048,US
114,40.64038492834106,17.01427271603646,GB
115,48.85377759548948,17.662942240556053,NL
116,43.549526736743836,17.381910949598335,GB
117,45.4348043467303,18.558318941514678,US
118,48.43701002158383,16.68287394836977,BD
119,45.03381373301041,20.041950107543947,BN
120,51.36981489986461,21.855589800197087,GB
122,3.9707979355461793,2.2381993706233514,CA
123,46.3422474659926,18.7857081661836,GB
124,41.66736996929711,18.999287465057062,IN
125,48.1657563991811,18.797523451844192,AU
126,46.06490881274862,17.264941041413124,GB
127,37.94429900406795,15.338479400678485,GB
128,41.44765619063671,17.290841508354912,GB
129,39.86292080188756,12.705739374217991,GB
130,46.28832899349972,18.978156349389526,GB
131,46.12569717854472,18.11055509348612,GB
134,45.09270215655748,19.888014954481243,PH
135,44.22941936215281,16.506458678268345,GB
136,43.95618631120096,17.04167354959418,PH
137,38.191584438054605,17.721850506016818,SE
138,44.08669825532456,16.135935644089596,DE
139,46.8252128206985,17.534530083673854,IN
140,44.934281444604785,18.399720038211004,AU
141,13.368461326160059,7.470410528556005,ZA
142,1.4382901330666418,1.2379545118791964,NO
143,47.24230779776663,17.540560999063196,US
144,41.6980875829735,15.321524162972256,SE
145,4.538443663654261,3.372010779696616,NL
146,60.10621016858597,19.693622003405327,GB
147,44.569556499945826,20.954071129953107,FR
148,43.7067010152662,14.716408558527663,NG
149,41.8990905006167,15.016432130777806,AU
150,42.20753900215786,18.78007323510667,GB
151,42.619214589215915,14.888434467958561,US
152,40.02299245581197,14.110073905817982,LT
153,1.4382901330666418,1.2379545118791964,ET
154,44.16426131322176,19.755719898804433,DE
156,47.025057802701205,17.66402007227928,BE
157,49.9289787716171,18.500269048353374,GB
158,38.4107682288087,18.8332026438229,SE
159,3.858595480049824,2.6358447415288375,CA
160,37.521015475190715,18.306336118585318,GB
161,48.13856128771222,17.511147833902474,GB
162,42.05602402040152,15.31076131300101,AU
163,48.36972942975024,20.258351424277745,GB
164,43.629567968679524,19.517448779182445,US
165,41.964480671974194,15.886408840725872,CA
166,45.13183049437172,18.702844534383363,HK
167,46.85258062952967,19.20575244749154,GB
168,42.54958887811151,17.794783252056575,MY
169,46.521396745129806,22.078741090310718,SG
170,49.2811705414057,19.740165862430125,AU
171,57.66120705130198,19.3276865586742,GB
172,46.000533580576224,15.918962501879525,US
173,54.23216291482621,18.345732200923464,GB
174,46.71280544331059,17.54110072133204,GB
175,15.643995858780743,5.8845435469081915,GB
176,47.396794720268765,16.778873989692922,BR
177,5.009570102507105,2.020537680977022,AT
178,8.590323658741179,3.2441021427485377,US
180,44.10018958198309,16.40981401346806,NL
181,42.52010124972115,15.069843744262107,US
182,45.12712839517996,19.632133112189678,DK
183,45.6968558577175,16.358776164479345,NL
184,45.21720019760802,20.043636207802688,US
185,40.18677994348011,14.247796830714094,GB
186,41.01089589473554,15.65733140716839,US
187,53.43079724562766,18.162408892712854,GB
188,44.14717123568434,18.07485867229685,DE
189,57.04999602149082,18.68691322623197,US
190,49.1744113207797,21.431378154975686,US
191,42.30726909217474,15.57415514090505,GB
192,44.94700040115189,16.137233091392176,US
193,41.05505330504624,18.642892316408602,ES
194,51.26193127229529,18.660690174678674,US
195,47.060705227708716,19.902868989033212,US
196,47.26674082372444,19.105497427225572,ES
197,43.497616904236445,16.06875858178152,US
198,44.416618748529224,19.159921575271138,US
199,43.04328981216654,16.51984031185026,FI
200,57.98421511446104,19.674020065449508,GB
201,53.067209627459036,22.622163530470146,US
202,45.08223127289692,17.118820296420974,NL
203,47.21162473858384,19.074022672444126,US
204,8.853948156844622,3.635023104037277,ES
205,46.113094914245366,17.7407189333564,US
206,1.7978626663333022,1.5474431398489954,IN
207,46.034318950413706,17.317314956719162,GB
208,62.07354123887684,19.70863482081824,GB
210,40.25070705789711,14.524111474816847,TZ
211,42.51501827459027,15.363084882756443,US
212,35.613837688915005,15.103647978074948,US
213,45.93853271474903,17.13386746469598,LU
214,58.270314274207735,19.08952761181968,PH
215,34.767154924252125,15.702853001378447,MY
216,42.09416741507179,17.4868163095595,US
217,47.09622292979332,17.123033716167164,GB
218,46.74679641687822,19.3377873173589,US
219,48.85902288349933,20.929117481532842,FR
220,46.58845651103775,17.454478693353316,GB
221,44.61785899179806,19.624510825603465,US
222,43.46053012959456,17.603462136612592,PL
223,39.25684216980652,17.669529810150816,US
224,41.3278818008,17.15181090320748,US
226,46.494925654206504,17.27030151534663,NONE
227,48.772452955723395,18.87999967936961,US
228,50.130076745467726,20.92033748663296,DK
230,46.716818884554435,19.85323771777913,GB
231,35.46476410577142,15.113730993201674,US
232,43.05819120522555,15.58366030781004,GB
233,41.49263586123837,14.984420384893436,MY
234,49.314114333631714,18.79743364033468,US
235,57.5103409946861,17.863101710761985,JP
236,40.90561893691441,16.010667811484836,MX
237,46.01755033298098,17.80740976968874,GB
239,52.02163871072984,17.002850303555675,AU
240,48.14156040776337,16.417662814208413,NL
241,50.47005297512042,17.28343001413987,US
242,41.958469786302615,18.2647924139826,IN
243,45.29489576613013,18.80079501095374,GB
244,45.32464497582142,18.87874176030213,US
245,56.70078098383752,19.03441646266639,IN
246,48.056579419595145,21.260918067960226,US
247,45.87755098119691,18.628578281480927,IE
248,46.53878704743113,13.972812116274477,US
249,43.68877950824675,17.390925780934467,DE
250,44.54885374306721,16.36500594688347,AE
252,8.456006849274416,3.4699936372019593,AU
253,44.49971650052862,15.302525494517877,GB
254,43.00947687211636,18.495258736782667,GB
256,38.50211231909156,18.670889541905584,FR
258,43.273316503508724,15.667138621766002,US
259,48.27522835368609,18.277265889043544,US
260,50.90207069625448,26.246258718730758,US
262,39.73562515394573,16.680821959588933,GB
263,51.28947919447018,20.810301255013393,US
264,63.54240493834879,21.661523929496905,GB
265,41.809290636662666,16.889072236547868,US
267,40.63503232402981,17.209065366143022,AT
268,47.048063133413976,17.566568105184796,US
269,40.77746595522959,15.554219106320287,US
270,44.18201047651492,16.735259337998084,US
271,38.43820418212025,14.5182787531322,GB
272,11.45842152768579,4.048720589818504,US
273,44.769541223057516,17.147292965827766,DK
274,51.03100223814455,19.79590445861321,CY
275,58.392299574353544,17.762219632119823,US
276,50.18558900978096,20.777114219945734,UG
277,47.78453764052586,18.927133246407912,US
278,43.46895477557011,13.41522085988447,HK
279,55.52736088686527,18.69725351778037,CA
280,38.62785646097806,12.840887218700953,DE
281,45.447626908993875,18.930190549427056,US
282,40.50255403609158,14.177959936129806,US
283,43.00398742490641,18.29626014286873,US
284,42.99385623437854,15.51971509948791,US
285,49.8381529211205,17.726395486675692,SE
286,47.17087998853589,21.13693824411531,GB
287,46.75291934955874,18.31961909830087,GB
288,55.9825831920488,16.62186944210879,MY
